No.;Municipal District;Regional Public Highways (km);Unpaved Roads (km);Unclassified Roads (km);Winter Roads (km);Watercourses (km);Water Bodies (km²);Forest Area (km²);Average Elevation (m);Average Slope (°);Distance to Nearest Settlement (median, km);Winter Road to Watercourse Distance (Euclidean, km);Road Surface Type;Permafrost Zone Area (km²);Swamp Area (km²);Average Snow Depth (cm);Oil & Gas Pipeline Length (km);Power Line Length (km);Power Line & Highway Crossings (count);Winter Road & Power Line Crossings (count);Winter Road & Watercourse Crossings (count);Power Line & Winter Road Crossings (count);Pipeline & Highway Crossings (count);Pipeline & Winter Road Crossings (count);Winter Roads (count);Name;Opening Date;Closing Date;Length (km);River crossing(count);Crossing Name;Opening Date;Load Capacity (tons);Closing Date;Population Density (people/km²);Total Permanent Population (2025);Urban Permanent Population (2025);Rural Permanent Population (2025);Urbanization Rate (%)
1;Абанский муниципальный район;148,891;0;0;8,655;0;0;9494.0;268,00;0,79;83,63;39,18;5,00;0;0,236;5,085106383;123,274;8,751;1;0;0;0;2;0;2;"Дорога Подъезд к п. Тулень (зимник); Дорога Покатеево - Хиндичет (зимник)";"-; -";"05 февраля 2025; 28 марта 2017";"8,7; 0,29";1;Дорога Покатеево - Хиндичет (0+001);45728;-;45736;288,05;17394;0;17394;0
2;Ачинский муниципальный район;33,018;23,919;23,919;0;70,405;0;2512.0;266,00;0,70;0,00;0,00;5,00;0;190,876;3,923076923;173,846;296,298;16;0;0;0;2;0;0;0;0;-;-;-;-;-;-;-;26,271;113345;100380;12965;90
3;Балахтинский муниципальный район;68,088;1,039;1,039;94,266;183,967;418,24;10184.0;430,00;2,32;56,66;0,00;5,00;0;0,354;3,979591837;98,632;236,186;2;0;0;0;1;0;2;"Дорога ""Черемушки - Тюлюпта"" - Березовая; Дорога Черемушки - Тюлюпта (зимник)";"18 декабря 2024; 18 декабря 2024";"-; -";"27,1; 46,59";-;-;-;-;-;1,488;17526;6888;10638;40
4;Березовский муниципальный район;62,445;30,432;30,432;0;11,334;0;4294.0;440,00;2,57;24,64;27,18;5,00;0;2,71;4,630434783;115,148;178,91;10;0;0;0;0;0;0;0;0;-;-;-;-;-;-;-;13,918;41064;18715;22349;46
5;Бирилюсский муниципальный район;15,1;3,09;3,09;73,158;131,731;0;11718.0;201,00;0,30;45,08;0,77;5,00;0;2,526;5,611111111;22,045;1485,69;4;0;3;0;0;0;3;"Дорога Маталассы - Никифоровка (зимник); Дорога Мендельский - Малая Кеть (зимник); Дорога Промбор - Проточное (зимник)";"-; -; -";"20 марта 2025; 20 марта 2025; 20 марта 2025";"18,95; 9,9; 40,58";2;"Дорога Бирилюссы-Биктимировка (1+451); Дорога Шуточкино-Зачулымка-Сахарное (3+660)";"24.02.2025; 10.01.2025; 05.02.2025";"30; -";"18.03.2025; 18.03.2025";0,144;7762;0;7762;0
6;Боготольский муниципальный район;32,889;14,51;14,51;0;130,233;0;2936.0;252,00;0,54;0,00;0,00;5,00;0;18,914;3,982758621;158,261;272,271;3;0;0;0;2;0;0;0;0;-;-;1;Дорога Большая Косуль-Казанка (9+404);"21.02.2025; 21.02.2025";-;45734;1,094;7495;0;7495;0
7;Богучанский муниципальный район;438,409;67,515;67,515;320,324;388,582;0;53538.0;338,00;1,31;38,19;2,48;5,00;1841,916;82,132;5,816914498;636,501;175,332;54;0;5;0;2;0;4;"Дорога Ангарский-Беляки (зимник); Дорога Ангарский-Беляки (зимник); Дорога Обход Богучан; Дорога Шиверский - Хребтовый (зимник)";"09 декабря 2020; 09 декабря 2020; 11 декабря 2017; 24 декабря 2024";"-; -; 27 марта 2025";"31,14+36,56; 16,63; 67,24";1;Дорога Манзя-Каменка (0+100);45721;-;45737;15,566;41668;0;41668;0
8;Большемуртинский муниципальный район;70,131;8,378;8,378;0;57,427;0;6817.0;257,00;0,82;0,00;0,00;5,00;0;239,927;5,786764706;191,883;28,612;3;0;0;0;0;0;0;0;0;-;-;1;Дорога Большой Кантат-Предивинск (20+290);-;-;43189;3,703;13307;6927;6380;54
9;Большеулуйский муниципальный район;67,415;0;0;0;69,465;0;2664.0;233,00;0,41;0,00;1,22;5,00;0;13,757;4;6,539;743,776;5;0;0;0;0;0;0;0;0;-;-;1;Дорога Большой Улуй-Бычки-Борцы (0+001);45712;-;45734;0,886;6495;0;6495;0
10;город Ачинск;41,804;0,521;0,521;0;10,266;0;103.0;218,00;0,95;0,00;0,00;13,00;0;0,08;6,5;6,75;343,489;7;0;0;0;3;0;0;0;0;-;-;-;-;-;-;-;0,095;10038;10038;0;100
