Название	Комментарий	
Муниципальное образование район	Муниципальные образования верхнего уровня Красноярского края с геопортала НИУ ВШЭ	
Краевые и региональные автодороги общего пользования(км)	Краевые и региональные дороги по данным OSM, скорректированные по данным NEXTGIS, рассчитанные по каждому МО	
Дороги с грунтовым покрытием(км)	"Дороги с тэгом ""surface=unpaved"" OSM, рассчитанные по каждому МО"	
Неклассифицированные дороги(км)	"Дороги с тэгом ""highway=unclassified"", ""highway=service"" OSM, рассчитанные по каждому МО"	
Зимники(км)	"Дороги с тэгом ""highway=winter_road"", ""ice_road=yes"" OSM, данные ФГИС СКДФ, рассчитанные по каждому МО"	
Водотоки(км)	"Данные тэга OSM  ""waterway=river"", рассчитанные по каждому МО"	
Водоемы(км^2)	"Данные тэга OSM ""natural=water"" и ""Rivers + lake centerlines"" Natural Earth, рассчитанные по каждому МО"	
Площадь лесов(км^2)	Данные извлеченные из GEE помощью скрипта на JS из слоя Hansen Global Forest Change (2020)	
Средняя высота(м)	Данные рассчитанные с помощью зональной статистики из ЦМР GTOPO30. Медианные.	
Средняя крутизна(°)	Данные крутизны рассчитанные с помощью Python скрипта, и усредненные с помощью зональной статистики из ЦМР GTOPO30. Медианные.	
Расстояние до ближайшего населенного пункта (км)	Расстояние рассчитанное от зимника до населенного пункта, рассчитанное с помощью алгоритма «Расстояние до ближайшего концентратора», рассчитанное как медианное для каждого МО с помощью зональной статистики	
Расстояние от зимника до водотока (км)	"Расстояние рассчитанное от зимника до водотока, рассчитанное с помощью алгоритма ""Distance to Nearest Hub"", рассчитанное как медианное для каждого МО с помощью зональной статистики"	
Тип покрытия(1-17)	Извлеченные данные LC_Type1 Class Table из GEE и рассчитанные с помощью Python скрипта, как самое часто встречающиеся на территории МО	
Площадь криолитозоны(км^2)	Площадь криолитозоны на территории  МО рассчитанная по данным НИУ ВШЭ	
Площадь болот(км^2)	"Дороги с тэгом ""natural=wetland"" OSM, рассчитанные по каждому МО"	
Средняя высота снежного покрова (cм) 	Данные о высоте  снежного покрова рассчитанные как медианное из растра Агроклиматического атласа.	
Длина нефтегазопроводов(НГП)(км)	Рассчитанная длина нефтегазопроводо для МО по данные Arcgis	
Длина ЛЭП(км)	"Данные тэга OSM ""power=line"" , рассчитанные по каждому МО"	
Пересечение ЛЭП и автодорог(кол-во)	Пересечения слоев рассчитанные точечно с помощью Python скрипта для QGIS	
Пересечение зимников и ЛЭП(кол-во)	Пересечения слоев рассчитанные точечно с помощью Python скрипта для QGIS	
Пересечение зимников и водотоков(кол-во)	Пересечения слоев рассчитанные точечно с помощью Python скрипта для QGIS	
Пересечение ЛЭП и зимников(кол-во)	Пересечения слоев рассчитанные точечно с помощью Python скрипта для QGIS	
Пересечение НГП и автодорог(кол-во)	Пересечения слоев рассчитанные точечно с помощью Python скрипта для QGIS	
Пересечение НГП и зимников(кол-во)	Пересечения слоев рассчитанные точечно с помощью Python скрипта для QGIS	
Зимники(кол-во)	Сводка табличных данных сайта krudor.ru, автоматизированный парсинг  на Python с помощью библиотеки Beautiful SOAP	
Название(текст)	Сводка табличных данных сайта krudor.ru, автоматизированный парсинг  на Python с помощью библиотеки Beautiful SOAP	
Дата открытия(дата)	Сводка табличных данных сайта krudor.ru, автоматизированный парсинг  на Python с помощью библиотеки Beautiful SOAP	
Дата закрытия(дата)	Сводка табличных данных сайта krudor.ru, автоматизированный парсинг  на Python с помощью библиотеки Beautiful SOAP	
Протяженность(км)	Сводка табличных данных сайта krudor.ru, автоматизированный парсинг  на Python с помощью библиотеки Beautiful SOAP	
Переправы(кол-во)	Сводка табличных данных сайта krudor.ru, автоматизированный парсинг  на Python с помощью библиотеки Beautiful SOAP	
Название переправы	Сводка табличных данных сайта krudor.ru, автоматизированный парсинг  на Python с помощью библиотеки Beautiful SOAP	
Дата открытия(дата)	Сводка табличных данных сайта krudor.ru, автоматизированный парсинг  на Python с помощью библиотеки Beautiful SOAP	
Грузоподъемность (тонн)	Сводка табличных данных сайта krudor.ru, автоматизированный парсинг  на Python с помощью библиотеки Beautiful SOAP	
Дата закрытия(дата)	Сводка табличных данных сайта krudor.ru, автоматизированный парсинг  на Python с помощью библиотеки Beautiful SOAP	
Плотность населения (чел/км^2)	Сводное население деленное на площадь МО	
Постоянное населенее сводное (чел)	Данные статистики Росстатата	
Постоянное населенее городское (чел)	Данные статистики Росстатата	
Постоянное населенее селеское (чел)	Данные статистики Росстатата	
Оценка урбанизации территорий( %)	Оценка урбанизации террритори по формуле: (Общее постоянное население/Постоянное городское население)?100%	
