Источник	URL	Слои	Тип данных	Пространственное разрешение	Дата обращения	Дата последнего обновления	Пояснение
OSM	https://www.openstreetmap.org	Автодороги(включая сезонные), ЛЭП, Болота, Водотоки, Водоемы	Векторные	Мультимаштабные	01.04.2024.	10.07.2025.	Краудсорсинговый проект, который корректировался исходя из региональных данных ФГИС СКДФ и КРУДОР
NaturalEarth	https://www.naturalearthdata.com/	Водотики	Векторные	1:10 м	01.04.2024.	01.04.2025.	Краудсорсинговый проект, который корректировался исходя из региональных данных OSM
Геопортал НИУ ВШЭ 	https://geoportal.hse.ru/portal/apps/sites/#/geodata/	Красноярский край и муниципальные образования, Криолитозона	Векторные	Мультамасштабные 	20.02.2025.	20.02.2025.	Два разных проекта
GEE (EC JRC global map of forest cover 2020)	https://developers.google.com/earth-engine/datasets/catalog/JRC_GFC2020_V2	Лесные массивы	Растовые	10х10 м	01.04.2025.	15.01.2025.	Данные о площади лесов на территории муниципальных образований
Система контроля за формированием и использованием средств дорожных фондов	https://скдф.рф/	Дороги всех видов	Векторные, табличные	Мультимаштабные	01.04.2025.	10.07.2025.	Данные об автодорогах на территории субъекта, по которым проводилась коррекция геометрии данных проекта OSM
NextGIS	https://data.nextgis.com/ru/region/custom/msrd/	Дороги всех видов	Векторные	Мультимаштабные	07.03.2025.	07.03.2025.	Данные об автодорогах на территории субъекта, по которым проводилась коррекция геометрии данных проекта OSM, какдостоверный источник на территории РФ
Агроэкологический Атлас России и сопредельных стран	https://agroatlas.ru/ru/content/Climatic_maps/Snow/Snow_maxim/index.html	Высота снежного покрова	Расторые	10х10 км	01.04.2025.	14.03.2005.	Данные о высоте снежного покрова на территории данные на 14.03.2005.
"Краевое государственное казённое учреждение ""Управление автомобильных дорог по Красноярскому краю"""	https://krudor.ru/	Зимники и ледовые переправы	Табличные	__	01.12.2024.	10.07.2025.	Офицальная информация о зимниках и ледовых переправах на территории субъекта
GTOPO30	https://www.usgs.gov/centers/eros/science/usgs-eros-archive-digital-elevation-global-30-arc-second-elevation-gtopo30	Высота и крутизна	Расторые	30х30 арксекунд	01.04.2025.	16.07.2025.	Данные ЦМР о высоте над уровнем моря и крутизне склона
GEE(MCD12Q1.061 MODIS Land Cover Type Yearly Global 500m)	https://developers.google.com/earth-engine/datasets/catalog/MODIS_061_MCD12Q1	Тип покрытия Земной поверхности	Расторые	500х500 м	01.04.2025.	16.07.2025.	Данные о типах покрытия земли по данным съемочной системы MODIS
Глобальная база данных нефтегазовой инфраструктуры	https://hub.arcgis.com/datasets/OSRL::pipelines/explore?location=50.023689%2C-71.488738%2C3.00	Нефте и газопроводы	Векторные	Мультимаштабные	23.03.2023.	23.03.2023.	Данные о нефтегазовой инфраструктуре на террритории субекта
Управление Федеральной службы государственной статистики по Красноярскому краю, Республике Хакасия и Республике Тыва	https://24.rosstat.gov.ru/	Численность населения (общее, городское, сельское, урбанизация, плотность населения)	Табличные	_	04.07.2025.	04.07.2025.	"Оценка численности постоянного населения на 1 января 2025 года и в среднем за 2024 год
по муниципальным, городским округам и муниципальным районам Красноярского края "
